obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,seawater_pressure,profiler_timestamp,practical_salinity,suspect_timestamp,seawater_temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('62',)",3773073031,14,3.533390045,3779218472,3779218544,3773073031,0,internal_timestamp,64.6190033,1564084231,33.75350189,0,8.282600403,1026.551457,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('63',)",3773073031,14,3.533390045,3779218472,3779218544,3773073031,0,internal_timestamp,64.62400055,1564084231,33.75350189,0,8.282600403,1026.551479,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('64',)",3773073031,14,3.533400059,3779218472,3779218544,3773073031,0,internal_timestamp,64.62400055,1564084231,33.75360107,0,8.282600403,1026.551557,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('65',)",3773073031,14,3.533410072,3779218472,3779218544,3773073031,0,internal_timestamp,64.62400055,1564084231,33.75370026,0,8.282600403,1026.551635,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('66',)",3773073031,14,3.533430099,3779218472,3779218544,3773073031,0,internal_timestamp,64.62599945,1564084231,33.75389862,0,8.282500267,1026.551815,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('67',)",3773073031,14,3.533430099,3779218472,3779218544,3773073031,0,internal_timestamp,64.62799835,1564084231,33.75400162,0,8.282500267,1026.551905,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('68',)",3773073031,14,3.533430099,3779218472,3779218544,3773073031,0,internal_timestamp,64.6269989,1564084231,33.7541008,0,8.282500267,1026.551978,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('69',)",3773073031,14,3.533430099,3779218472,3779218544,3773073031,0,internal_timestamp,64.6289978,1564084231,33.75400162,0,8.282400131,1026.551924,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('70',)",3773073031,14,3.533420086,3779218472,3779218544,3773073031,0,internal_timestamp,64.62999725,1564084231,33.75400162,0,8.282500267,1026.551914,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('71',)",3773073031,14,3.533420086,3779218472,3779218544,3773073031,0,internal_timestamp,64.62799835,1564084231,33.75400162,0,8.282500267,1026.551905,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('72',)",3773073031,14,3.533420086,3779218472,3779218544,3773073031,0,internal_timestamp,64.6309967,1564084231,33.75400162,0,8.282500267,1026.551918,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('73',)",3773073031,14,3.533410072,3779218472,3779218544,3773073031,0,internal_timestamp,64.6309967,1564084231,33.75389862,0,8.282400131,1026.551853,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('74',)",3773073031,14,3.533400059,3779218472,3779218544,3773073031,0,internal_timestamp,64.63300323,1564084231,33.75379944,0,8.282400131,1026.551784,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('75',)",3773073031,14,3.533400059,3779218472,3779218544,3773073031,0,internal_timestamp,64.63500214,1564084231,33.75389862,0,8.282299995,1026.551886,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('76',)",3773073031,14,3.533390045,3779218472,3779218544,3773073031,0,internal_timestamp,64.63300323,1564084231,33.75389862,0,8.28219986,1026.551892,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('77',)",3773073031,14,3.533380032,3779218472,3779218544,3773073031,0,internal_timestamp,64.63300323,1564084231,33.75389862,0,8.282099724,1026.551908,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('78',)",3773073032,14,3.533370018,3779218472,3779218544,3773073032,0,internal_timestamp,64.63400269,1564084232,33.75379944,0,8.282099724,1026.551834,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('79',)",3773073032,14,3.533360004,3779218472,3779218544,3773073032,0,internal_timestamp,64.63200378,1564084232,33.75379944,0,8.281999588,1026.55184,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('80',)",3773073032,14,3.533360004,3779218472,3779218544,3773073032,0,internal_timestamp,64.63600159,1564084232,33.75379944,0,8.281900406,1026.551874,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('81',)",3773073032,14,3.533380032,3779218472,3779218544,3773073032,0,internal_timestamp,64.63600159,1564084232,33.75400162,0,8.281900406,1026.552032,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('82',)",3773073032,14,3.533400059,3779218472,3779218544,3773073032,0,internal_timestamp,64.63500214,1564084232,33.75429916,0,8.28180027,1026.552276,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('83',)",3773073032,14,3.533400059,3779218472,3779218544,3773073032,0,internal_timestamp,64.63700104,1564084232,33.75429916,0,8.281900406,1026.55227,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
